datetime,PFT_rainfnf,PFT_snowfnf,PFT_raininf,PFT_snowinf,PFT_baseinf,KWH_rainfnf,KWH_snowfnf,KWH_raininf,KWH_snowinf,KWH_baseinf,SUC_rainfnf,SUC_snowfnf,SUC_raininf,SUC_snowinf,SUC_baseinf,ISB_rainfnf,ISB_snowfnf,ISB_raininf,ISB_snowinf,ISB_baseinf,MIL_rainfnf,MIL_snowfnf,MIL_raininf,MIL_snowinf,MIL_baseinf
2009-04-23,0.30282432599999987,0.9190803509798231,0.0,727.1787410716852,88.89888948128538,0.09476620199999998,0.21965905971621197,0.0,182.66426038110666,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,31.412756355956994,2.019301301763523,0.135162,0.20957531732321857,0.0,176.30241338259128,23.24063888349262,0.3753655050000001,1.1185392608923874,0.0,804.226668062704,212.34146012122918
2009-04-24,0.30282432599999987,0.9186666056510083,0.0,720.7808968262208,88.87117031726072,0.09476620199999998,0.21965905971621197,0.0,180.66315632774172,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,30.79154440854491,2.019301301763523,0.135162,0.20957531732321857,0.0,174.43603589969095,23.24063888349262,0.3753655050000001,1.1155738992626005,0.0,795.5258962316057,212.06450369704288
2009-04-25,0.30282432599999987,0.9177046802667395,0.0,713.8523808455653,88.78107602312214,0.09476620199999998,0.21965905971621197,0.0,178.64791682579067,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,30.20932080184931,2.019301301763523,0.135162,0.20957531732321857,0.0,172.5370497143292,23.24063888349262,0.3753655050000001,1.1139557881303108,0.0,788.3452654353573,211.91476561297424
2009-04-26,0.30282432599999987,0.9094021914853039,0.0,700.8181507959896,88.01701023465425,0.09476620199999998,0.21965905971621197,0.0,176.60643917996995,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,29.6267160387206,2.019301301763523,0.135162,0.20957531732321857,0.0,170.55820185105446,23.24063888349262,0.3753655050000001,1.1103978544658113,0.0,779.3345190992495,211.58777257533563
2009-04-27,0.30282432599999987,0.9069438243186059,0.0,692.5997900315697,87.79390012160361,0.09476620199999998,0.21965905971621197,0.0,174.56981226437364,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,29.040940271512298,2.019301301763523,0.135162,0.20957531732321857,0.0,168.66717343684712,23.24063888349262,0.3753655050000001,1.105291097615502,0.0,769.6009990675293,211.12562435634825
2009-04-28,0.30282432599999987,0.9035454209851285,0.0,682.9875490110483,87.49481018223204,0.09476620199999998,0.21965905971621197,0.0,172.22309473372195,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,28.411021167618657,2.019301301763523,0.135162,0.20955529520474175,0.0,166.69802641261396,23.238530586487848,0.3753655050000001,1.0989131818357096,0.0,758.7109583892354,210.53275313518054
2009-04-29,0.30282432599999987,0.8994659291122257,0.0,672.164318083032,87.17504482188961,0.09476620199999998,0.21965905971621197,0.0,169.78236940573532,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,27.76826131061608,2.019301301763523,0.135162,0.20950851355433603,0.0,164.56602584240855,23.231848134588716,0.3753655050000001,1.0934311662601128,0.0,747.9955154402928,210.028547107969
2009-04-30,0.30282432599999987,0.8989019280782737,0.0,663.9308695593338,87.14569902835156,0.09476620199999998,0.21965905971621197,0.0,167.31732283113024,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,27.164904050847277,2.019301301763523,0.135162,0.20950258235863128,0.0,162.41146308052004,23.229467440350387,0.3753655050000001,1.0908275688746734,0.0,739.9163477114425,209.78969495327914
2009-05-01,0.30282432599999987,0.9467349479415406,0.0,694.8163057643412,91.23337553852794,0.09476620199999998,0.21965905971621197,0.0,164.82937639005507,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,26.58544198770658,2.019301301763523,0.135162,0.20950258235863128,0.0,160.23983072435104,23.229467440350387,0.3753655050000001,1.1202549538339286,0.0,754.7914657919644,212.51667542055236
2009-05-02,0.30282432599999987,0.9497551580173423,0.0,688.8971940880994,91.5164735937763,0.09476620199999998,0.21965905971621197,0.0,162.34747696182882,9.608273893111702,0.02962806153000003,0.04452687260523364,0.0,26.02272330692421,2.019301301763523,0.135162,0.20950258235863128,0.0,158.05775435831623,23.229467440350387,0.3753655050000001,1.1470919795337198,0.0,767.3445944366413,215.00463596636345
