datetime,SHA_storage,SHA_tocs,SHA_available_storage,SHA_flood_storage,SHA_out,FOL_storage,FOL_tocs,FOL_available_storage,FOL_flood_storage,FOL_out,ORO_storage,ORO_tocs,ORO_available_storage,ORO_flood_storage,ORO_out,YRS_storage,YRS_tocs,YRS_available_storage,YRS_flood_storage,YRS_out,NML_storage,NML_tocs,NML_available_storage,NML_flood_storage,NML_out,DNP_storage,DNP_tocs,DNP_available_storage,DNP_flood_storage,DNP_out,EXC_storage,EXC_tocs,EXC_available_storage,EXC_flood_storage,EXC_out,DEL_TRP_pump,DEL_HRO_pump,DEL_total_outflow,DEL_SWP_allocation,DEL_CVP_allocation,DEL_X2,DEL_SCINDEX,DEL_SJINDEX
1906-10-26,3555.628960123455,4010.333333333333,1741.503582172954,911.8398710801457,12.492674359127625,817.3708961089422,775.0,1413.4039511352712,1381.036494896605,9.614829927388854,2687.464393702666,3163.0,704.2538733729224,729.4604941537875,6.617032054972619,689.5410834368053,817.8333333333334,380.5776924043827,425.17782230603063,1.6074842948136574,2074.057716359481,2020.0,0.0,0.0,10.955678147686559,2029.8143471077506,1690.0,0.0,0.0,1665.9300467813505,732.8732871018054,703.7666666666667,0.0,0.0,5.8664599547203355,8.528925605472,13.249586754547199,426.48623821442646,2748.2132334447206,2446.4975614957552,49.939691762950915,11.940817278,6.87351297228
1906-10-27,3550.6994593053096,3988.6666666666665,1732.576716483736,903.1122827141508,13.370737167566322,810.2772562599523,767.0,1396.9719570549328,1364.6982434124714,10.009881429363478,2687.1133451082155,3100.338394065934,712.5056820252208,800.378577411693,4.718891892879832,687.9531944477437,814.0666666666666,374.5628254584783,419.2367440761353,1.6054016501890653,2063.6442001943524,2010.0,0.0,0.0,10.856623179151121,2029.8143471077506,1690.0,0.0,0.0,1673.8639310655108,727.1304410311744,697.9333333333334,0.0,0.0,5.909307159285231,8.528925605472,13.249586754547199,416.00555668139447,2747.8664766155252,2436.427871381849,49.4236122190556,11.940817278,6.87351297228
1906-10-28,3544.8801931994067,3967.0,1719.8825486074845,890.5123119761388,13.490399977282166,803.9252921798007,759.0,1396.8766579939725,1364.2719212016402,11.35562180276289,2686.9183540341633,3107.4820571428572,711.0490010551406,791.89466078491,4.641181479787556,686.3673881033068,810.3,369.5281755814575,414.2701432908648,1.6054016501890653,2053.247980320211,2000.0,0.0,0.0,10.75988498947627,2029.8143471077506,1690.0,0.0,0.0,1209.7317004421502,721.4684965161007,692.1,0.0,0.0,5.912646344476867,8.528925605472,13.249586754547199,322.256318045004,2743.1642180461904,2428.3002643235864,48.95198540902906,11.940817278,6.87351297228
1906-10-29,3537.899148583064,3945.333333333333,1707.4187409979183,878.1923201501577,13.288482622250294,801.3502984614248,751.0,1386.5492351586477,1353.4943489838456,12.811255423158155,2686.6697675883006,3114.4149914285713,742.6849579427839,816.527645627498,8.460269737819022,684.7815817588698,806.5333333333333,364.94460898197394,409.75034380559396,1.5971107411121181,2042.8610275615115,1990.0,0.0,0.0,10.693903363337041,2029.8143471077506,1690.0,0.0,0.0,1199.8143450869502,715.6485199235339,686.2666666666667,0.0,0.0,5.917138915767601,8.528925605472,13.249586754547199,322.88111385151575,2766.1520139394397,2420.3745699297237,48.67120293992398,11.940817278,6.87351297228
1906-10-30,3531.7698064446254,3923.6666666666665,1695.8164539265656,866.652013117046,13.900728571632495,799.1494231856881,743.0,1379.9194391459191,1346.1732753684385,13.30816562638372,2686.275878002187,3121.137206153846,735.2722430250409,802.438045334243,6.170550733410446,683.2040663235098,802.7666666666667,360.77481376585627,405.63947932940005,1.590902476659763,2032.5971010569544,1980.0,0.0,0.0,10.634651946734039,2029.8143471077506,1690.0,0.0,0.0,2181.6325252517513,709.8331568753634,680.4333333333334,0.0,0.0,5.901440146386381,8.528925605472,13.249586754547199,521.2627694031617,2747.613167985675,2413.3881324861395,48.40461263921375,11.940817278,6.87351297228
1906-10-31,3525.505441496497,3902.0,1687.0381473098016,857.9361866228055,11.528951385543923,793.137455894125,735.0,1364.8808251311177,1330.368184125064,14.609879871144395,2686.0069470935487,3127.653722783883,738.77191107842,799.353217969099,7.776922300953251,681.6327591526021,799.0,357.27158739191555,402.1914515176587,1.5598016502658558,2022.3600953905425,1970.0,0.0,0.0,10.600563871280475,2029.81434710775,1690.0,0.0,0.0,1685.76475749175,703.9370284645054,674.6,0.0,0.0,5.9329237093196525,8.528925605472,13.249586754547199,428.1813437571487,2736.881400627821,2405.279827098724,47.84336789144078,11.940817278,6.87351297228
1906-11-01,3522.4845892701787,3880.333333333333,1681.022527399062,850.2273925188751,8.247949077019545,790.4284024492206,727.0,1364.1867280799988,1328.5764860505158,13.677895898375237,2685.638884284251,3133.979586813187,721.9020459931768,774.1608708391088,5.049334206372954,680.0925528080884,799.0,357.52993503883533,401.8750297202407,1.8408991704536448,2012.30308193157,1970.0,0.0,0.0,8.586185972879411,2029.896859504306,1690.0,0.0,0.0,24.793388388,698.2749913662998,674.6,0.0,0.0,4.761337579000724,8.528925605472,13.249586754547199,86.87202402596913,2776.996329211351,2402.407811107983,47.44002447764681,11.940817278,6.87351297228
1906-11-02,3522.205433568169,3858.6666666666665,1677.0788634751796,851.0255735200194,7.451744119682668,778.7250520020656,719.0,1347.4197096568657,1317.2043752722248,13.143945083439867,2685.189417838727,3140.1097945054944,777.2988903520958,830.6620660696519,5.007240983303343,678.9556073554576,799.0,351.17031315992153,398.9038853760205,1.8408991704536448,2004.2455703379658,1970.0,0.0,0.0,6.92895274514467,2005.0699286370234,1690.0,0.0,0.0,24.793388388,693.5886468450241,674.6,0.0,0.0,3.8227326086321227,8.528925605472,13.249586754547199,77.29599370147182,2821.705133416926,2400.0245238425396,48.08898093101672,11.940817278,6.87351297228
1906-11-03,3521.357458032407,3837.0,1686.2604309024134,864.8889598515602,7.9180561850131,768.6733383183771,711.0,1333.4508900726928,1307.9430748103455,12.63209021675817,2684.8792346987534,3146.0593904761904,800.8568890235337,855.1852644992871,5.580021808785061,677.8186619028268,799.0,345.4490312808074,396.0983116318006,1.8035504101859616,1997.6166374270267,1970.0,0.0,0.0,5.589214427443131,1980.9769237189182,1690.0,0.0,0.0,24.793388388,689.8342269635497,674.6,0.0,0.0,3.0796742191009345,8.528925605472,13.249586754547199,71.69722246319485,2843.351980151525,2402.5693610484423,48.77766981424679,11.940817278,6.87351297228
1906-11-04,3524.310211746443,3815.333333333333,1694.2725427077787,877.4059525612315,7.5023940369527455,758.6564547087852,703.0,1321.2193699652141,1299.8035069000712,12.001655579983254,2684.5786178397557,3151.8333945787545,795.1738024616285,850.2628352416784,4.821145777005157,676.7190652104637,799.0,340.0276783129209,393.18006714784804,2.067510740319965,1992.2576841562206,1970.0,0.0,0.0,4.52401286417994,1956.8301469000771,1690.0,0.0,0.0,24.793388388,686.8619934054249,674.6,0.0,0.0,2.469194714114542,8.528925605472,13.249586754547199,64.43240924585959,2849.074315532607,2403.306868236894,49.477038278275735,11.940817278,6.87351297228
