,SLS,SLF,MIL,ISB,SLS_stor,FR1_stor,FR2_stor,KN_stor
16,906.0605076169365,387.5115796064422,225.83026281897838,246.47848040838144,985.3936958695977,258.6907265733591,0.0,236.88347553070162
17,903.3800441882579,391.1630646971761,226.4352331660677,243.0577430037462,991.5718803444313,258.99894211003016,0.0,232.98785155786982
18,906.2808143850333,394.83596288971364,225.9678601784585,239.1621190309144,999.602151726295,259.2359907046723,0.0,229.04711237950374
19,910.7771380785323,398.53027418405486,225.53189514721987,235.22137985254832,1012.8517384808421,259.60550343132275,0.0,225.06500302019018
20,920.7562412655042,402.2459985801998,225.56919270833782,231.23927049323476,1014.7604646850483,259.90768326552467,0.0,221.07096115244667
21,919.2304147667669,405.9831360781484,225.19122184269477,227.24522862549125,1016.011790197205,260.722747065805,0.0,216.85419774112808
22,917.1680541386877,409.74168667790065,225.80990919396365,223.02846521417266,1018.2527893947037,261.4811113620485,0.0,212.70521940858484
23,916.2563192425735,413.5216503794566,225.9270214903806,218.87948688162942,1020.0525862468961,262.1827523526025,0.0,208.479274428539
24,914.9113624533594,417.32302718281625,226.01427778599876,214.65354190158357,1033.3021730014434,262.75438673180514,0.0,204.34146059304888
25,925.0841123337137,421.14581708797954,225.99360835909667,210.51572806609346,1038.6992345769672,263.4318135075239,0.0,200.0784505165081
26,927.6510300005368,424.99002009494654,226.09983137380254,206.25271798955268,1042.0583995949976,264.7238542987365,0.0,195.8009793147511
27,928.8395390220329,428.8556362037172,226.8414430814217,201.97524678779567,1044.7526267309083,266.40232305624056,0.0,191.46432202281864
28,929.0623436876674,432.74266541429154,227.10449396752307,197.63858949586322,1051.4617440793602,267.8322311530061,0.0,187.25643975927568
29,932.7782308468738,436.6511077266695,227.16161697157327,193.43070723232026,1064.7113308339074,269.73315015806946,0.0,182.9490163287028
30,943.3548126663142,442.82441640988344,227.73215448580441,189.1232838017474,1076.3933025298861,271.5197537914245,0.0,179.61415989810703
31,952.2244168703718,446.7524205405409,228.18767592382045,185.7884273711516,1087.0555359122945,273.29876866446165,0.0,176.8156294645942
32,960.1240586010017,452.8303239207907,229.4420482098206,182.98989693763878,1095.8581506637306,274.87611609982196,0.0,174.5799786714976
33,966.6436472955781,458.899784931596,230.49127530906978,180.75424614454218,1106.0990428541663,276.200777254616,0.0,172.74120481396446
34,975.521335616001,464.9608035729569,231.28433837867865,178.91547228700904,1114.0723873754168,277.62133903734775,0.0,171.26384258745276
35,981.2507263998787,471.0133798448733,232.1693118688178,177.43811006049734,1119.4464867212812,280.1134790000931,0.0,170.26019545057133
36,983.7518564732617,477.0575137473453,234.12127467600763,176.4344629236159,1123.8423023749924,283.274048713779,0.0,169.28907741077094
37,984.9198256723688,483.09320528037284,235.54699572855102,175.46334488381552,1125.7584812137998,286.31840685741264,0.0,168.51218297893064
38,983.5853387213349,489.12045444395596,236.8519163480792,174.68645045197522,1127.3407227243558,289.3431685052115,0.0,167.90231834252967
39,981.9478714915532,495.1392612380946,238.1479798800874,174.07658581557425,1133.3377046238593,291.62569921211156,0.0,167.47948051759687
40,985.4819867066071,501.1496256627888,239.68287490802604,173.65374799064145,1146.5872913784065,293.89773735704574,0.0,167.10735438993902
41,995.9285190705624,507.15154771803856,241.44824825484193,173.2816218629836,1152.3188323417082,294.86041900831714,0.0,166.8762981157997
42,999.4193424584391,513.145027403844,241.90133216166888,173.05056558884428,1156.283531498371,296.08230046080496,0.0,166.6687106171877
43,1000.5790632250068,519.1300647202048,242.96710570489745,172.8429780902323,1160.0226977035898,298.4210328205029,0.0,166.3688237590193
44,1001.0833688663895,525.1066596671212,245.1457342905213,172.5430912320639,1165.552928453424,300.1404562886818,0.0,166.18762104924525
