datetime,SRI,SJI
1906-06-14,11.131942112,6.2774626606799995
1906-06-15,11.131942112,6.277385475479999
1906-06-16,11.131942112,6.277341806279999
1906-06-17,11.131942112,6.27728460528
1906-06-18,11.131942112,6.277222268279999
1906-06-19,11.131942112,6.277152732479999
1906-06-20,11.131942112,6.277095472680001
1906-06-21,11.131942112,6.277033288679998
1906-06-22,11.131942112,6.27695885088
1906-06-23,11.131942112,6.27686704608
1906-06-24,11.131942112,6.27679616388
1906-06-25,11.131942112,6.27678433128
1906-06-26,11.160488917999999,6.276707673480001
1906-06-27,11.196871318,6.2766255178799994
1906-06-28,11.235511318,6.276550051079999
1906-06-29,11.272806918,6.276470144879999
1906-06-30,11.308591318,6.27635059128
1906-07-01,11.342815718,6.2760730246800005
1906-07-02,11.374401718,6.275917766879999
1906-07-03,11.404674117999999,6.275917788479999
1906-07-04,11.433408518,6.27591794388
1906-07-05,11.462612918,6.27591766368
1906-07-06,11.488635477999999,6.27591766368
1906-07-07,11.515390837999998,6.27591766368
1906-07-08,11.542252598,6.27591747408
1906-07-09,11.566894357999999,6.275917054679999
1906-07-10,11.590290917999999,6.275917209479999
1906-07-11,11.612793478,6.275917209479999
1906-07-12,11.634619237999999,6.275917209479999
1906-07-13,11.653320238,6.275917231079999
1906-07-14,11.670772438,6.275917231079999
1906-07-15,11.689130638,6.2759161816799995
1906-07-16,11.707152837999999,6.290889332280001
1906-07-17,11.723396838,6.335747792280001
1906-07-18,11.739223878,6.38129577228
1906-07-19,11.756156158,6.42691737228
1906-07-20,11.772467597999999,6.4744655722800015
1906-07-21,11.787725398,6.516347612280001
1906-07-22,11.802628477999999,6.559300652280001
1906-07-23,11.817110797999998,6.60454929228
1906-07-24,11.831309638,6.647284712279999
1906-07-25,11.847012838,6.683426792280001
1906-07-26,11.861063198,6.71611959228
1906-07-27,11.875922238000001,6.748606712279999
1906-07-28,11.889444398,6.77691357228
1906-07-29,11.903337958000002,6.8026145722799995
1906-07-30,11.916383078,6.82767009228
1906-07-31,11.929024798,6.851389772279999
1906-08-01,11.940817278,6.87351297228
1906-08-02,11.940817278,6.87351297228
1906-08-03,11.940817278,6.87351297228
1906-08-04,11.940817278,6.87351297228
1906-08-05,11.940817278,6.87351297228
1906-08-06,11.940817278,6.87351297228
1906-08-07,11.940817278,6.87351297228
1906-08-08,11.940817278,6.87351297228
1906-08-09,11.940817278,6.87351297228
1906-08-10,11.940817278,6.87351297228
