datetime,PAR_fnf,CNS_fnf,DNP_fnf,FOL_fnf,ISB_fnf,KWH_fnf,EXC_fnf,MIL_fnf,yuba_fnf,NHG_fnf,NML_fnf,ORO_fnf,PFT_fnf,SHA_fnf,SUC_fnf,YRS_fnf,ORIG_PAR_fnf,ORIG_CNS_fnf,ORIG_DNP_fnf,ORIG_FOL_fnf,ORIG_ISB_fnf,ORIG_KWH_fnf,ORIG_EXC_fnf,ORIG_MIL_fnf,ORIG_yuba_fnf,ORIG_NHG_fnf,ORIG_NML_fnf,ORIG_ORO_fnf,ORIG_PFT_fnf,ORIG_SHA_fnf,ORIG_SUC_fnf,ORIG_YRS_fnf
10/23/2006,0.160582828,0.010451452,2.045915423,0.174884988,3.294384999,2.099645369,1.901995046,4.012340731,0.005003111,0.020121793,0.83514729,2.168426282,4.973546312,8.40788484,0.210465844,0.3496364,0.091677098,0.010451452,3.018800681,0.131355197,1.789348007,0.87495972,1.967670374,4.789846413,0.005003111,0.00514267,0.215855775,0.073615752,5.416182741,0.03586956,0.045823611,0.021027686
10/24/2006,0.148570859,0.009671254,1.864226244,0.162063934,3.987469539,2.004750866,1.765049862,3.75001658,0.004739713,0.01865645,0.771833851,2.072619021,4.777116824,8.171835558,0.206597532,0.327486151,0.084819438,0.009671254,2.750713638,0.121725371,2.165797463,0.835415486,1.825996513,4.476689461,0.004739713,0.004768162,0.19949151,0.070363198,5.202271391,0.034862531,0.044981384,0.019695535
10/25/2006,0.138375172,0.009035099,1.72261504,0.151317514,3.320071496,1.927822948,1.65320254,3.54761513,0.004522602,0.017488228,0.717683803,1.98522148,4.680008263,7.955240209,0.191056497,0.30887683,0.078998697,0.009035099,2.541762674,0.113653791,1.80329965,0.803358249,1.710287136,4.235066946,0.004522602,0.004469591,0.185495655,0.067396145,5.096520348,0.033938496,0.041597717,0.018576341
10/26/2006,0.129581554,0.00844361,1.607157062,0.141966615,3.298489157,1.860338046,1.557446121,3.375638664,0.004334913,0.016394002,0.670452967,1.910639718,4.590432863,7.757086646,0.18274286,0.292487869,0.073978401,0.00844361,2.371401466,0.10663038,1.791577184,0.775236085,1.611224276,4.029765125,0.004334913,0.004189932,0.173288169,0.064864174,4.998972903,0.033093137,0.039787633,0.017590683
10/27/2006,0.121567559,0.007919873,1.507525575,0.133032954,3.18207767,1.791450055,1.471683134,3.217732213,0.004133931,0.015464122,0.628460931,1.836196724,4.422317648,7.555292825,0.175163293,0.276207552,0.069403193,0.007919873,2.224392652,0.099920354,1.728348186,0.746529229,1.522499919,3.841259786,0.004133931,0.003952276,0.162434726,0.062336914,4.815895744,0.032232248,0.038137374,0.016611559
10/28/2006,0.114243328,0.007427065,1.418501353,0.12471511,3.024353831,1.718248668,1.394193178,3.069548555,0.003932717,0.014574849,0.590435953,1.762405591,4.236570089,7.346803789,0.16778317,0.260495129,0.065221773,0.007427065,2.093035129,0.093672865,1.642680349,0.716024904,1.442334257,3.66436131,0.003932717,0.003724998,0.152606626,0.059831784,4.613616996,0.031342796,0.036530539,0.015666589
10/29/2006,0.107501128,0.006966166,1.335937139,0.117208562,2.865351312,1.646065361,1.320319642,2.927875614,0.003747729,0.01370733,0.555919838,1.689923454,4.051870208,7.146813689,0.160929239,0.246455242,0.061372636,0.006966166,1.971209513,0.088034736,1.556317996,0.685944831,1.36590989,3.495235187,0.003747729,0.00350328,0.143685442,0.057371093,4.412479167,0.030489602,0.035038269,0.014822208
10/30/2006,0.101791699,0.006581951,1.264496433,0.11088193,2.724253272,1.583553272,1.256337688,2.80568969,0.003594164,0.013013277,0.52642427,1.624777012,3.900525988,6.982999267,0.154863707,0.234672695,0.05811311,0.006581951,1.865796919,0.083282836,1.479680476,0.659894927,1.299718658,3.349372249,0.003594164,0.003325896,0.13606189,0.055159441,4.247665591,0.02979074,0.033717653,0.014113587
10/31/2006,0.096629064,0.00625221,1.207960688,0.10519685,2.606913945,1.529933652,1.202989507,2.705669742,0.003458263,0.012408845,0.500017387,1.567425131,3.798999885,6.83098908,0.149436284,0.224110153,0.05516575,0.00625221,1.782376978,0.079012802,1.415947521,0.637550674,1.24452838,3.229970577,0.003458263,0.003171417,0.129236653,0.053212406,4.137103853,0.029142237,0.032535969,0.013478339
11/1/2006,0.049466082,0.005950212,1.182965858,0.057482529,4.55728582,1.281828708,0.71211247,3.244957137,0.003376311,0.013581919,0.116377512,0.11865004,3.989419776,1.525299032,0.235232222,0.009853822,0.052567226,0.005950212,1.716839889,0.075225799,1.362305865,0.617190755,1.19851458,3.136693682,0.003376311,0.003038844,0.12320879,0.065193618,4.056387738,0.35454431,0.031462469,0.014959337
