datetime,DNP_fnf,DNP_precip,DNP_snow,EXC_fnf,EXC_precip,EXC_snow,FOL_fnf,FOL_precip,FOL_snow,ISB_fnf,ISB_precip,ISB_snow,KWH_fnf,KWH_precip,KWH_snow,MIL_fnf,MIL_precip,MIL_snow,NML_fnf,NML_precip,NML_snow,ORO_fnf,ORO_precip,ORO_snow,PFT_fnf,PFT_precip,PFT_snow,SHA_fnf,SHA_precip,SHA_snow,SUC_fnf,SUC_precip,SUC_snow,YRS_fnf,YRS_precip,YRS_snow
2040-02-13,78778.61748398439,24.2320556640625,1.2705081701278687,55468.548788085944,30.465576171875,0.6686834096908569,165654.02420859376,34.95709228515625,0.24930480122566223,28480.432725292972,0.0855712890625,1.6218056678771973,32058.07483681641,20.9974365234375,0.3859369456768036,69313.44377343751,12.1776123046875,2.270294189453125,49717.35200654297,29.4339599609375,0.47851455211639404,323819.44525312504,52.9305419921875,0.2058391571044922,61160.26769384766,24.583740234375,2.641284704208374,358730.18794687506,81.9384765625,0.5674208402633667,20688.448359228518,7.7562255859375,0.04538772255182266,148378.59139218752,63.9169921875,0.15640564262866974
2040-02-14,120003.48905976563,41.08294677734375,1.3133304119110107,70546.63492910156,51.9287109375,0.6813085079193115,322244.97456093755,35.55462646484375,0.3076513111591339,19764.499832226564,0.607421875,1.6367647647857666,15292.845863891604,4.364501953125,0.3928195834159851,50117.002117968754,10.38409423828125,2.2993674278259277,80345.57221113282,51.9630126953125,0.5113120675086975,583085.1132937501,50.7882080078125,0.2058391571044922,31038.714596630864,7.224365234375,2.679079532623291,462612.5219882813,21.35302734375,0.5674208402633667,10179.636088549805,4.04412841796875,0.04538772255182266,270725.8815632813,97.5947265625,0.15640564262866974
2040-02-15,67140.57742558594,9.13433837890625,1.3772799968719482,54725.20359960938,10.6796875,0.7131609916687012,132321.20664375002,27.7459716796875,0.36371931433677673,21661.098886083986,8.127685546875,1.6367647647857666,22752.8633503418,27.2882080078125,0.3934656083583832,52519.066921875004,30.218994140625,2.3430657386779785,41649.839972167974,11.89892578125,0.5540978908538818,200161.93169765625,25.136962890625,0.2058391571044922,42982.54284697266,24.7230224609375,2.707524299621582,171611.76466875002,18.4910888671875,0.5674208402633667,12906.397636376954,19.12933349609375,0.04538772255182266,87783.29938886719,34.16455078125,0.19231079518795013
2040-02-16,45177.867308789064,3.5482177734375,1.4040727615356445,35445.5989453125,1.0670166015625,0.7309409976005554,76285.78821035157,15.7701416015625,0.3749529719352722,32343.863208251954,10.04791259765625,1.6586716175079346,27281.296415771485,23.919921875,0.4036922752857208,46169.252169433596,4.68585205078125,2.418107748031616,28733.30989145508,6.64501953125,0.5713130831718445,135426.53148925782,26.685302734375,0.2058391571044922,40341.54902021485,11.1485595703125,2.789931297302246,172386.7384746094,19.7010498046875,0.5674208402633667,23997.347692382813,31.47894287109375,0.04538772255182266,72903.62104394531,28.51318359375,0.20028206706047058
2040-02-17,27911.585756982426,0.03680419921875,1.4184364080429077,21952.723032421876,0.0,0.7390762567520142,45766.74616230469,0.0,0.40234988927841187,19170.71080473633,0.0,1.6687705516815186,12895.75429453125,0.287841796875,0.4070890545845032,27357.465035302735,0.031005859375,2.4395437240600586,17701.643185400393,0.0,0.5851459503173828,83951.57661621095,0.0562744140625,0.2058391571044922,23215.824137695316,0.5738525390625,2.8063690662384033,117643.30502578126,0.025146484375,0.5674208402633667,9412.073503051759,0.80633544921875,0.04538772255182266,37242.54305771484,0.001953125,0.21092666685581207
2040-02-18,24619.317313476564,0.1197509765625,1.4184364080429077,18681.05081279297,0.302490234375,0.7390762567520142,40411.09093564453,0.633544921875,0.40234988927841187,16481.401892138674,0.0224609375,1.6687705516815186,10807.230926367189,2.84521484375,0.4070890545845032,23832.10975678711,0.0335693359375,2.4395437240600586,16157.178636914065,0.2322998046875,0.5851459503173828,72310.7063138672,2.4007568359375,0.23000983893871307,19738.521014501956,2.0091552734375,2.8063690662384033,105528.57835195314,9.369873046875,0.5674208402633667,7647.302573474121,2.57403564453125,0.04538772255182266,32213.69122558594,4.35498046875,0.2224617302417755
2040-02-19,23738.50221723633,2.192626953125,1.4184364080429077,16742.855295996094,2.1939697265625,0.7390762567520142,50565.59150800782,17.4407958984375,0.40234988927841187,15431.498958984375,0.0,1.6687705516815186,9873.096513867189,0.0614013671875,0.4070890545845032,22067.12132167969,0.2686767578125,2.4395437240600586,16618.68368701172,10.5181884765625,0.5851459503173828,78741.70460449219,20.29541015625,0.23000983893871307,18168.306376464847,0.7926025390625,2.8063690662384033,105858.73357617189,5.94677734375,0.5674208402633667,6869.460046032716,0.69964599609375,0.04538772255182266,35219.56420605469,15.959228515625,0.2224617302417755
2040-02-20,25000.981267382813,8.77862548828125,1.4184364080429077,15568.151216967775,1.6180419921875,0.7390762567520142,44919.89613105469,4.8343505859375,0.40234988927841187,14985.896929907227,0.1702880859375,1.6687705516815186,10022.196287329103,8.5228271484375,0.4070890545845032,20302.45353354492,0.0089111328125,2.4395437240600586,19953.86110839844,6.84521484375,0.5851459503173828,66583.98558457031,1.352783203125,0.23000983893871307,17642.187754907227,6.1439208984375,2.8063690662384033,101678.7112359375,1.302978515625,0.5674208402633667,6377.7543264038095,1.47113037109375,0.04538772255182266,32413.559034228518,4.594482421875,0.2224617302417755
2040-02-21,20342.891392089845,0.0,1.4184364080429077,14071.26319746094,0.02587890625,0.7390762567520142,31963.990602099613,0.0,0.40234988927841187,14856.644135229493,0.00579833984375,1.6687705516815186,9688.54173581543,0.8546142578125,0.4070890545845032,19752.787667138673,0.1353759765625,2.4395437240600586,14227.146792041016,0.0,0.5851459503173828,53468.036600976564,0.0,0.23000983893871307,17706.961649853518,0.13623046875,2.8063690662384033,80044.71984492188,0.0,0.5674208402633667,5764.325137426758,1.98687744140625,0.04538772255182266,23525.184336914066,0.0,0.2224617302417755
2040-02-22,17409.640675634768,0.04583740234375,1.4184364080429077,12341.401638208008,0.01171875,0.7390762567520142,27538.829375976566,0.0086669921875,0.40234988927841187,13684.324600854494,0.02899169921875,1.6687705516815186,7998.216482702637,0.1748046875,0.4070890545845032,17990.98432529297,0.0,2.4395437240600586,12551.159268310548,0.0062255859375,0.5851459503173828,46854.99206044922,0.0,0.23000983893871307,15551.97137072754,0.0958251953125,2.8063690662384033,69642.97908017579,1.1497802734375,0.5674208402633667,4815.514712988282,0.0618896484375,0.04538772255182266,20768.78111411133,0.00439453125,0.2224617302417755
