datetime,DNP_fnf,FOL_fnf,ISB_fnf,MIL_fnf,NML_fnf,ORO_fnf,PFT_fnf,SHA_fnf,YRS_fnf,PAR_fnf,CNS_fnf,KWH_fnf,NHG_fnf,SUC_fnf,EXC_fnf
12/2/2006,17.18228967,17.2690208,7.899679725,17.96686363,17.47555829,50.29852848,17.80280392,118.4069834,25.21385237,3.267829985,1.376766539,1.32437961,0.287535627,0.050075947,5.684805944
12/3/2006,16.61423686,15.67026528,7.909967911,17.88267163,17.72098617,51.41740242,18.31734006,122.4680675,24.55872459,3.546094051,1.773467425,1.282460068,0.305782947,0.049902027,5.85919732
12/4/2006,16.64135555,16.05591386,7.945614076,17.61502839,17.79886947,50.88100866,18.30127444,123.2788853,25.18720584,2.910676254,1.345285088,1.24088785,0.234236827,0.049356803,5.779212335
12/5/2006,16.83062325,17.17466188,7.904433322,17.80074695,18.14340482,54.16613746,18.60875577,123.8006525,25.27214973,2.923128883,1.253761242,1.200997609,0.194056522,0.048634666,5.831601792
12/6/2006,16.72244812,17.56663322,7.845049447,17.56315166,17.94429056,54.20310419,19.02782646,123.0390268,26.34303101,3.06122121,1.034700903,1.162824322,0.164189847,0.047682321,6.139791627
12/7/2006,16.44155948,16.72435338,7.796284074,17.0757946,17.59721321,54.98921076,19.34029826,121.4194541,25.94853699,3.172502783,0.876695461,1.125112264,0.142219717,0.046608928,6.405042842
12/8/2006,16.00596381,15.78836636,7.745910376,16.60738586,17.64687758,53.64746207,18.93390459,120.4688572,24.78723713,3.207957948,0.779446072,1.08795535,0.124420675,0.045570145,6.095485039
12/9/2006,17.90351201,21.54118318,7.75935612,17.16012966,18.69308525,66.02991576,18.28732074,124.0156836,32.33107027,4.013631012,2.669416654,1.238933041,0.878752031,0.097567201,7.175745723
12/10/2006,33.19604357,34.1110773,9.540945137,35.50153422,23.91978859,97.97706776,30.48034419,136.8559141,45.40684478,7.515067451,4.532048484,17.95086362,3.631545846,8.638499897,19.91434107
12/11/2006,23.28763483,26.85130473,10.20229129,23.47898234,20.89044907,82.79828064,18.17219099,155.2321595,37.62116031,5.372079979,2.433239856,5.710461699,1.014805541,1.439263048,9.346437432
12/12/2006,29.71463586,96.57942265,11.69956344,24.37820225,27.54604348,234.474419,17.5726734,296.0240757,124.3679865,12.7820633,12.51971494,4.239877032,7.513993887,1.160026298,14.18312557
12/13/2006,27.66227959,63.29400143,12.58007941,21.82360053,25.34467129,177.7019189,18.93787163,285.5098755,84.24026425,10.16046016,7.786219088,3.98740117,2.669815602,1.12134148,11.00178191
12/14/2006,28.79652036,73.15038529,13.43516788,24.53663327,25.18523538,180.043,17.71935372,293.3327469,95.31175496,10.11078282,8.447507837,5.774066909,1.819957738,1.929398586,11.21331075
12/15/2006,26.95888057,143.520416,11.42123288,21.81681856,30.40423878,305.8881935,19.18529238,436.2900902,195.5517475,15.65885719,14.66212883,4.652835147,3.169562641,1.719007919,9.053376937
12/16/2006,26.76028838,76.84277903,8.558146473,22.89239007,28.39857886,150.1517351,17.99100419,211.8308671,84.45139265,12.97261019,10.32800725,5.066770189,2.122112174,1.209323124,8.511949813
12/17/2006,22.25067727,44.03835256,8.530592515,20.61096153,23.07453027,101.049696,17.4089519,167.9620546,52.52284289,7.923267929,5.74438315,4.391532888,1.375772094,1.047099426,7.247675819
12/18/2006,19.8215502,32.58649324,8.45241398,18.94033611,20.76588449,82.70956178,16.93291582,150.3568373,41.97034513,5.823267802,3.962014859,3.767307291,0.998734617,0.918641989,6.332280194
12/19/2006,18.30557574,26.56750084,8.368705681,17.87061098,19.4200825,73.02666432,16.54868349,142.3330495,35.84292569,4.645182601,2.97502885,3.338781425,0.770512417,0.807128037,5.722293863
12/20/2006,17.30565582,23.05113296,8.462983643,17.15613471,18.55005244,68.92516242,16.25449954,135.5669006,33.42758416,3.922704777,2.37946155,3.043418449,0.628809715,0.72228818,5.280685177
12/21/2006,17.43709323,35.27803439,8.512733138,16.95486223,18.51173238,102.9924133,16.06434995,135.0399742,59.31632105,4.495250927,3.803774029,2.848006744,1.087963869,0.665900148,5.308066501
12/22/2006,29.0738972,70.18615635,8.495230149,18.49912598,25.66338055,126.750961,16.30011994,134.8512583,81.60092701,12.6084476,14.08670787,3.052001393,9.345830696,0.816829975,9.65894494
12/23/2006,21.59092391,34.45802345,8.856894962,18.13970877,20.80396745,85.2442019,16.06932847,130.9413305,45.75456447,6.527095741,5.434773091,3.067073461,2.119568763,0.663729062,6.630290869
12/24/2006,19.94530977,28.37239599,9.21566422,17.5790349,19.6886222,78.76152896,16.02871639,136.3340284,40.6912132,4.998771244,3.951112635,3.178652982,1.461472244,0.771719981,5.828977739
12/25/2006,19.31087416,40.04983689,8.877535389,17.13762821,19.58402666,122.3845735,16.09940276,263.6557896,72.18860196,5.362424905,4.795037219,3.283422312,1.472762035,0.722083652,5.537964819
12/26/2006,86.51233112,479.3885402,8.896966984,27.90769213,62.37396814,1106.992883,17.33817495,896.5447178,678.8038342,60.43292338,83.61604425,3.502957183,39.83997416,0.780734114,31.87942795
12/27/2006,198.4611471,621.811393,9.728564161,71.78193681,117.0031429,1060.755225,31.01103475,805.6182287,669.7411728,125.1686501,161.1784389,13.35851066,78.14377508,5.618578959,95.9149279
12/28/2006,71.43287301,139.169523,9.02668999,39.9163102,46.6507656,248.0254801,23.14221236,287.048172,142.8806613,33.28264835,39.07960997,11.28936989,18.44606655,4.469318933,34.1258959
12/29/2006,43.4835846,76.54600478,9.491974963,28.79487709,31.83138432,157.2982096,19.74319021,217.5640816,90.63617065,16.28334786,17.67857614,7.594082925,8.861258947,3.304047255,18.46331042
12/30/2006,37.02082752,63.69774908,9.576751156,26.05551524,27.15052482,130.5611758,19.25012543,196.16125,78.27944473,12.87899191,13.50144538,7.616696388,5.300458203,4.171851557,15.15462841
12/31/2006,32.91498466,51.23205943,9.55253025,24.16839694,25.10083048,115.3724465,18.69081679,186.0521988,68.74512998,9.374259307,9.435517267,5.786885378,3.8505281,2.394828528,12.48719779
1/1/2007,29.16711982,45.73707034,9.566748499,22.69996014,24.21122694,107.7635204,18.03606689,182.4025177,64.22702019,7.666045241,7.359099256,5.151964763,3.005041747,2.124587734,10.75831687
1/2/2007,29.32040139,44.45854429,10.03126121,22.7626672,23.52948856,108.0215163,18.1501115,179.8456454,64.91881211,7.858734273,6.778680694,4.635520176,2.501739835,2.101447149,10.52000787
1/3/2007,31.41735022,46.73565177,10.26431669,23.38709242,26.8827101,114.7772764,19.01273768,197.4332534,70.72372381,8.527142341,6.763226365,4.6649141,2.351078713,2.180095166,11.06431409
1/4/2007,38.91200441,131.1024536,10.15920967,24.88863555,33.18858446,210.0058371,19.35414803,259.0819585,163.9219318,18.49323886,22.21499309,5.342245082,7.635183719,2.206142533,12.86115656
1/5/2007,39.91510205,86.38819748,10.32645107,24.19254154,32.09167028,147.7598964,18.94828574,209.3317784,96.62834154,16.08999267,17.06683931,5.910257315,5.805532899,2.829026175,13.816836
1/6/2007,31.7881316,58.97164522,10.2119538,22.22050098,26.16080994,118.0625433,18.25847815,185.9302075,74.04407246,10.1776603,10.27581809,5.132498125,3.668519323,2.421469149,10.81987035
1/7/2007,28.50859973,48.8332495,10.65622423,20.78422179,23.87233689,106.1126459,17.99583484,177.7348443,66.29477834,7.88868822,7.756147315,4.616097239,2.769993333,2.142303547,9.391856641
1/8/2007,28.96803632,45.42278928,11.48647943,20.66632024,23.04792657,98.70750121,17.59144456,172.9513683,62.07578256,7.307671985,7.061632292,4.47290486,2.256658541,2.071917257,8.543149832
1/9/2007,29.19064109,43.79390029,11.34339012,21.92042929,22.92299866,94.30419369,17.51839849,171.2293313,59.79732398,7.670045396,6.719508177,4.712920089,1.885803367,1.927484398,8.296971048
1/10/2007,27.43256919,41.32920656,11.01885235,22.30713896,22.44793626,91.64968543,17.38433595,167.9055448,57.44688582,6.954067523,5.852780409,5.120929843,1.609305983,1.867083095,8.034152902
1/11/2007,25.51033462,38.2491968,10.5405454,21.29873405,21.45176167,88.24038926,17.18924826,162.3966917,55.81982699,5.940842896,4.888621795,5.00452783,1.454420118,1.732705344,7.511023233
1/12/2007,24.30118479,36.02639021,10.13199513,19.97330816,20.78463243,84.50398379,16.95253955,157.8401776,53.12159054,5.150441566,4.33613363,4.992606529,1.371383987,1.780621389,7.155212556
1/13/2007,22.96560427,33.90398558,9.785525641,19.039624,20.06834387,81.52540233,16.65916632,154.4980861,51.14046046,4.554181169,3.831166865,4.585054688,1.25373106,1.704895415,6.769695862
1/14/2007,22.10093498,32.59160006,9.513522996,18.42484953,19.55410305,79.48078214,16.44760336,152.1155311,49.86255244,4.138081254,3.476139303,4.230416003,1.159999116,1.692525434,6.420834138
1/15/2007,21.52842902,31.44204124,9.326075194,18.13635578,19.17930069,77.99312346,16.39400146,150.6644406,48.79936803,3.831634645,3.214064842,3.960930705,1.091434456,1.645659852,6.180863626
1/16/2007,21.43314017,30.57520814,9.343309911,17.84386762,18.84650849,76.6282393,16.28212846,149.0976928,47.80159393,3.580166991,3.000395394,3.859363981,1.030413909,1.588972243,5.997751776
1/17/2007,21.20231352,29.99728754,9.160670682,17.73795376,18.56865534,75.90891049,16.1973848,148.6544925,47.30388199,3.373365132,2.825713436,3.713269835,0.981241446,1.523246725,5.76828993
1/18/2007,20.54067715,29.25853499,9.19375488,17.60599525,18.32610285,75.35046851,16.16381824,147.0897097,46.59527431,3.204078527,2.711289466,3.533759065,0.92514007,1.466851374,5.551505193
1/19/2007,20.22306532,29.94711285,9.387791758,18.06793094,18.29131233,74.1823436,16.37064485,147.4574444,46.5190647,3.178605874,2.847501882,3.468373259,0.874486023,1.525872475,5.376636549
1/20/2007,20.41347088,31.31399348,9.294478167,18.45158143,18.45917747,74.33363737,16.45846625,146.6631176,46.74171496,3.313378739,3.134143598,3.421330502,0.83045797,1.497623259,5.238797454
1/21/2007,20.25762194,30.21607138,9.126239866,18.22433362,18.32969428,72.86553995,16.26986895,145.6910583,44.73242154,3.200580684,3.032870117,3.28401188,0.783442593,1.533852958,5.164079171
1/22/2007,20.20407393,29.10100495,9.021294086,17.58648618,18.23355274,71.2277805,15.99540509,144.658924,43.14285717,3.071450911,2.9659342,3.176995559,0.737264523,1.498069382,5.055130116
1/23/2007,20.58278162,30.86298004,9.117574516,17.18342163,18.9001724,71.71919868,15.95735706,146.0487325,43.15198039,3.382330957,3.38450829,3.134840808,0.701603092,1.472937429,5.071822581
1/24/2007,21.73193649,32.72909229,9.27644434,17.05347654,20.22850636,73.97088328,16.41415078,147.8310467,44.86645106,4.224523852,4.401861033,3.280906295,0.663035346,1.58175812,5.327656505
1/25/2007,22.9093655,32.18548314,9.253760568,17.39701844,21.28290223,76.11712642,17.09208771,149.1101218,45.49445251,4.802983684,4.607053959,3.556714588,0.63261216,1.792775105,5.820297567
1/26/2007,23.09866575,31.21169353,9.079077124,17.59485532,21.29356979,76.58677837,17.61639683,149.3922454,44.83228809,4.647770143,3.813603301,3.849441104,0.590805933,1.978474391,6.209607506
1/27/2007,22.37339271,29.65218651,8.938971066,17.2838394,20.26423675,76.85621606,17.77356511,149.0755507,44.20395824,4.211876258,3.033802451,3.921301014,0.566577627,1.921891155,6.272242271
1/28/2007,21.42177601,28.33943894,8.807858823,16.85264762,19.55207662,75.55493579,17.19026732,146.9927375,42.36467569,3.782636037,2.750523656,3.795472229,0.553550533,1.682411319,5.939155012
1/29/2007,21.0404073,26.50550307,8.832707834,16.59414427,18.96210651,73.77385875,16.88598774,144.5213783,40.696725,3.590264454,2.563927573,3.523903856,0.54433672,1.578283529,5.808955518
1/30/2007,20.82537566,24.795807,8.740546851,16.22852352,18.44076194,72.416156,16.79113219,142.8342897,39.36820686,3.411872744,2.293328806,3.387217185,0.524183945,1.430429895,5.63345856
1/31/2007,20.65861695,23.71871493,8.652608024,15.86442741,18.03840748,71.98530317,16.85537627,141.645164,38.48662484,3.274448402,2.074565376,3.343693323,0.497804442,1.435714825,5.585557953
2/1/2007,20.16565704,22.850883,9.577161709,15.57060478,17.74432304,71.64049778,17.02906459,140.8296347,37.96083463,3.352270157,1.931625655,3.424664144,0.487156132,1.295232224,5.641357456
2/2/2007,19.39159461,22.10753753,8.858150019,15.32519087,17.54534709,70.31847515,17.42579677,139.6833745,37.38862424,3.348245254,1.793222432,3.784591455,0.474849653,1.183450011,5.865508609
2/3/2007,19.19856855,21.57583394,9.256389712,15.11940571,17.47565121,68.20101845,17.99537997,139.0714161,37.18843068,3.310110109,1.705633241,4.723866882,0.453340852,1.098820912,6.124829764
2/4/2007,21.02504604,24.36425471,10.70995522,15.77486995,18.79116039,70.17325775,19.69222847,144.4111263,42.18202467,3.301275205,1.73579715,6.776803416,0.442103342,1.023308096,6.332950298
2/5/2007,24.26771806,31.89829718,12.48483286,18.38000055,22.10737661,76.28871185,21.90811573,155.5058254,47.96714462,4.189038024,2.047483349,8.031566682,0.424414189,0.952884145,7.007389253
2/6/2007,26.89532438,35.8780287,13.27028174,22.73659571,25.82961254,77.89710529,24.65488468,156.3011358,48.48049487,5.629300437,2.376442213,7.567328025,0.408305137,0.889978008,9.502297465
2/7/2007,30.98178487,40.34211916,11.7913137,26.19330798,28.6439025,80.76753593,27.32632922,169.408038,48.6340297,7.19862365,3.551785842,6.998454435,1.562655484,0.836408481,13.49722336
2/8/2007,30.84217403,71.60160456,11.03543813,25.11838282,27.73237613,138.8015338,26.34967469,238.2524784,90.48118307,8.296692381,6.342358809,6.48959265,2.89857065,0.829813492,12.20474682
2/9/2007,30.24707954,185.7766088,10.51329727,23.05229853,28.25798064,819.0916013,24.30796256,782.0224158,408.5793385,9.104726672,9.842590012,5.972272686,2.477999679,0.801871021,10.92306372
2/10/2007,96.25867113,474.0764115,13.30196557,45.71351969,78.20605463,1007.947223,38.88192756,562.812349,751.0949066,51.68776755,59.51253354,19.62263039,27.94077992,11.1501678,37.09181404
2/11/2007,236.1423053,623.5578553,16.74355498,130.0701524,162.2111248,964.4437402,96.77012979,718.6285754,649.4156382,117.9283771,115.5925405,76.54277635,52.75198884,36.99244523,104.9962295
