,delivery_risk,deliveries,average_demand
61,0.0,231.72981049202662,204.46095386378255
62,0.0,208.36373358282808,204.46095386378255
63,0.0,242.69112291522492,204.46095386378255
64,0.0,214.73115734973476,204.46095386378255
65,0.0,217.32125389652106,204.46095386378255
66,-1.7390510868346496,202.7219027769479,204.46095386378255
67,0.0,246.5874522567242,204.46095386378255
68,0.0,268.8706264279255,204.46095386378255
69,0.0,215.6685335917177,204.46095386378255
70,-85.03449930035023,119.42645456343232,204.46095386378255
71,-237.9154212108774,51.58003195325538,204.46095386378255
72,-261.06536822422333,181.3110068504366,204.46095386378255
73,-217.92336385498277,247.60295823302312,204.46095386378255
74,-198.29659986095592,224.0877178578094,204.46095386378255
75,-208.9605754430427,193.79697828169577,204.46095386378255
76,-165.09825465952193,248.32327464730332,204.46095386378255
77,-131.4682752750734,238.09093324823107,204.46095386378255
78,-141.90908907643202,194.02014006242393,204.46095386378255
79,-166.94734957820788,179.4226933620067,204.46095386378255
80,-180.82580981916746,190.58249362282297,204.46095386378255
81,-258.11435934862993,127.1724043343201,204.46095386378255
82,-366.139446229755,96.43586698265749,204.46095386378255
83,-363.67566244925865,206.92473764427888,204.46095386378255
84,-422.748429220242,145.38818709279923,204.46095386378255
85,-532.7311577163297,94.47822536769482,204.46095386378255
86,-640.8191124029225,96.37299917718971,204.46095386378255
87,-661.7717832554363,183.50828301126882,204.46095386378255
88,-673.290667496723,192.9420696224958,204.46095386378255
89,-671.2644249930287,206.48719636747688,204.46095386378255
90,-628.5961515594612,247.12922729735004,204.46095386378255
91,-610.8857223402035,222.17138308304024,204.46095386378255
92,-586.6942332388526,228.65244296513345,204.46095386378255
93,-554.4650760057266,236.6901110969086,204.46095386378255
94,-509.79336273642446,249.13266713308468,204.46095386378255
95,-557.1021215916148,157.15219500859214,204.46095386378255
96,-565.7395928161084,195.82348263928907,204.46095386378255
97,-565.3038783529903,204.89666832690062,204.46095386378255
98,-533.933373197631,235.8314590191419,204.46095386378255
99,-502.1200034106504,236.2743236507632,204.46095386378255
100,-463.6657051763191,242.91525209811385,204.46095386378255
101,-469.21856803067806,198.90809100942354,204.46095386378255
102,-530.800975467396,142.87854642706452,204.46095386378255
103,-603.8999428585065,131.36198647267207,204.46095386378255
104,-607.9784519082344,200.38244481405462,204.46095386378255
105,-553.0799821623696,259.3594236096475,204.46095386378255
106,-541.5258756503056,216.01506037584653,204.46095386378255
107,-570.5806334279118,175.4061960861763,204.46095386378255
108,-675.5125135786997,99.52907371299469,204.46095386378255
109,-801.1015923612256,78.87187508125662,204.46095386378255
110,-844.5551501064796,161.00739611852853,204.46095386378255
