dv,seed,project,share_FRS,share_COF,share_TUL,share_KWD,share_EXE,share_LDS,share_LND,share_PRT,share_LWT,share_TPD,share_SAU,share_TBA,share_PIX,share_DLE,share_KRT,share_SSJ,share_SFW,share_NKN,share_ARV,share_DLR,share_ID4,share_SMI,share_TJC,share_BLR,share_LHL,share_BDM,share_WRM,share_COB,share_BVA,share_CWO,share_HML,share_KND,share_RRB,share_CNS,share_ALT,share_CWC,share_MAD,share_SOC,share_SOB,share_CCA,obj0,obj1,obj2,obj3,obj4,share_OTL,share_OFK
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24668174560635134,0.0,0.0,0.0,0.0,0.0,0.19832073040691608,0.0,0.278049490802489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2769480331842437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.109465,-37.279456,5.986152,107.080385,-4.0,,
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49976385336428486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002361466357153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.494459,3.015724,-4.049987,101.377526,-2.0,,
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22299428166997756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22479937588971904,0.0,0.32170633037631596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2305000120639874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.802221,-21.750293,-8.374248,109.988248,-4.0,,
1,1,3,0.0,0.0,0.0,0.14023185819920775,0.0,0.0,0.0,0.0,0.1610657599869028,0.0,0.0,0.0,0.18610938762339413,0.0,0.0,0.0,0.0,0.0,0.16553489874789767,0.0,0.18573905196443985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1613190434781577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.597169,-48.06054,5.907237,124.033066,-6.0,,
1,1,3,0.0,0.0,0.0,0.21356341847095006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27873975133473167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28362172346338177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2240751067309365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.247501,-36.633488,13.896391,108.836474,-4.0,,
1,1,3,0.0,0.0,0.0,0.12951009877318118,0.0,0.0,0.0,0.0,0.1359088735024139,0.0,0.0,0.0,0.1832986490939442,0.0,0.0,0.0,0.0,0.0,0.200772790721847,0.0,0.19595787709535395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1545517108132598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.055975,-48.167218,7.928252,117.295498,-6.0,,
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133596721069102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4866403278930898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.718126,3.293747,-3.431821,97.958523,-2.0,,
1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49972284079359836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002771592064016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.456301,-19.161724,-1.011151,98.547125,-2.0,,
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27187395579414425,0.0,0.0,0.0,0.0,0.0,0.19155679110405086,0.0,0.2688170688285722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2677521842732327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83.104152,-37.633041,7.185615,104.825559,-4.0,,
1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485386035766503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3599259953470172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2915354010763326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84.594615,-30.222777,7.371589,104.357323,-3.0,,
