label, proj, share_FRS, share_COF, share_TUL, share_KWD, share_EXE, share_LDS, share_LND, share_PRT, share_LWT, share_TPD, share_SAU, share_TBA, share_PIX, share_DLE, share_KRT, share_SSJ, share_SFW, share_NKN, share_ARV, share_DLR, share_ID4, share_SMI, share_TJC, share_BLR, share_LHL, share_BDM, share_WRM, share_COB, share_BVA, share_CWO, share_HML, share_KND, share_RRB, share_CNS, share_ALT, share_CWC, share_MAD, share_SOC, share_SOB, share_CCA, share_OTL, share_OFK, cwg_p, ap_p, cwg_np, cog_wp_p90, n_p, cog_wp_p50, cog_p_p90, cog_p_p50
soln1212, 3.0, 0.2047393918258692, 0.0, 0.0, 0.02162784388882254, 0.0, 0.0, 0.0, 0.04250022988049648, 0.07395513114253087, 0.0, 0.0, 0.0902810341531832, 0.021870887666844592, 0.0, 0.0, 0.0, 0.04345370931735222, 0.0, 0.025637112365205137, 0.0, 0.35731136349848736, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08629313216278058, 0.0, 0.03233016409842777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.31312523869268, 55.18693280133795, 14.197984180091698, 242.48272352187752, 11, 146.98408096159952, 74.34803226783819, 56.73067954681996
soln1213, 3.0, 0.22342194231042609, 0.0, 0.0, 0.021747544762881887, 0.0, 0.0, 0.0, 0.0, 0.11349445601587176, 0.0, 0.0, 0.028838606401849237, 0.05257668559985662, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.36117094260091354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02007801442548379, 0.0, 0.0, 0.0, 0.0, 0.11352458636439491, 0.038542510058900976, 0.02660471145942138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 110.80621030660754, 50.03905232633854, -12.516058592389593, 1000000.0, 10, 155.4588464544048, 59.777425851563294, 45.171140769479294
soln1215, 3.0, 0.18165340488527018, 0.0, 0.0, 0.017664075993091537, 0.0, 0.0, 0.0, 0.025828398716999754, 0.05951579077226746, 0.0, 0.0, 0.02767517887984209, 0.03385424377004688, 0.0, 0.0, 0.0, 0.04707253886010363, 0.0, 0.03511442141623489, 0.0, 0.3080714902541327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.018092462373550458, 0.0, 0.0, 0.0, 0.0, 0.07279114236368123, 0.15038304959289414, 0.022283802121885025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 104.5134162650789, 57.169581327461486, -5.8531122642543085, 1000000.0, 13, 167.98085686643594, 65.25490201729043, 48.76824338004123
soln1216, 3.0, 0.19367317272770018, 0.0, 0.0, 0.05717394689883019, 0.0, 0.01606567665691463, 0.0, 0.05492096384722534, 0.0, 0.0, 0.0, 0.04414259421861071, 0.033254510051219016, 0.0, 0.03610508718637566, 0.0, 0.05686547897065753, 0.0, 0.014746434360859456, 0.0, 0.3290859244917199, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017397924627779254, 0.0, 0.0, 0.0, 0.0, 0.07448783485860998, 0.0, 0.06132275716304214, 0.01075769394045602, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 93.69045116353514, 57.787249471127836, 8.057631484367743, 1000000.0, 14, 203.91115039878684, 78.279422801871, 54.62820393460218
soln1219, 3.0, 0.19980180087393506, 0.0, 0.0, 0.04655638438572716, 0.0, 0.0, 0.0, 0.010659483099693659, 0.0493764514820346, 0.0, 0.0, 0.02745271418505368, 0.022901230768844306, 0.1610807504436872, 0.0, 0.0, 0.053840955877458185, 0.0, 0.021637051932441483, 0.0, 0.310474597729879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010848199314467157, 0.0, 0.0, 0.0, 0.0, 0.07337386911572796, 0.0, 0.011996510791050647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 91.27332082658928, 63.3270172724083, 10.94588024234632, 1000000.0, 13, 167.63722422618298, 75.17688639545374, 55.92470322346493
soln1221, 3.0, 0.1653237192028267, 0.0, 0.0, 0.013241726399809629, 0.0, 0.0, 0.0, 0.0, 0.03821895095005739, 0.0, 0.0, 0.0, 0.01667950221361389, 0.15723614071705821, 0.048753077423506166, 0.0, 0.11287418184487359, 0.0, 0.020139772298778384, 0.0, 0.28374451480152657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010088976682319919, 0.01438627044388893, 0.0, 0.0, 0.0, 0.10560202069591358, 0.0, 0.013711146325827152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 95.21529365465165, 64.20081886517004, 0.708843002000126, 1000000.0, 13, 180.86828354808432, 71.72378766974313, 53.693578833926836
soln1222, 3.0, 0.17608814918659715, 0.0, 0.048915008817643206, 0.02355437711772049, 0.0, 0.02114841133810213, 0.0, 0.0, 0.04155933580359443, 0.020819297758931578, 0.0, 0.036356369013414706, 0.019676843283729963, 0.0, 0.04686168684486892, 0.0, 0.07010645570372719, 0.0, 0.015037982741197218, 0.0, 0.28701645382130897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015920366278954566, 0.0, 0.0, 0.0, 0.0, 0.11264043830621989, 0.0, 0.06429882398398955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 88.18602734392084, 61.59580515730786, 11.481349914380457, 1000000.0, 15, 196.3220476258108, 83.76925035365201, 57.92288554888852
soln1224, 3.0, 0.23154332033657485, 0.0, 0.0, 0.015864495697100724, 0.0, 0.0, 0.0, 0.015498456621459331, 0.0, 0.0, 0.0, 0.0, 0.0710752818209862, 0.0, 0.011555452656467152, 0.0, 0.0, 0.0, 0.0, 0.0, 0.31512310489088996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017639397186672814, 0.014625718578035197, 0.0, 0.0, 0.0, 0.08759166336304544, 0.20073427697258522, 0.018748831876183078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 116.08832722461904, 50.026909696714554, -27.03439770357342, 1000000.0, 11, 159.75019089334705, 55.42250268430864, 43.78145893889511
soln1225, 3.0, 0.24781039029660276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0760890846216628, 0.0, 0.0, 0.07563146621879821, 0.03415979845919412, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5663092604037421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 81.81892490589495, 34.816984607211964, 14.818614077975623, 188.68423621744805, 5, 136.89763699950703, 79.24597466395396, 62.55244438194291
soln1226, 3.0, 0.2329246579110828, 0.0, 0.0, 0.01263382751271197, 0.0, 0.0, 0.0, 0.020317621815230124, 0.11390219378646443, 0.0, 0.0, 0.05972771627889546, 0.050093570618108284, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024164103807171964, 0.0, 0.38441776111465054, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06862071247626847, 0.0, 0.03319783467941598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 90.11239791746233, 52.9489602369454, 14.431052545544192, 214.21157119172258, 10, 145.61957872666153, 73.74113292567552, 56.76509351032203
soln1227, 3.0, 0.21219722208810135, 0.0, 0.0, 0.051529782885101315, 0.0, 0.0, 0.0, 0.035042167608195327, 0.0, 0.0, 0.0, 0.05153662305055285, 0.01982883491864227, 0.0, 0.0, 0.0, 0.06131363365683293, 0.0, 0.0172432523779634, 0.0, 0.38856565754108124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017257335071540085, 0.0, 0.0, 0.0, 0.0, 0.11630293080971464, 0.0, 0.029182559992274638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 95.55806877863478, 55.58436167371946, 8.742692069514844, 1000000.0, 11, 176.02092236013908, 75.86329740640606, 53.425387616987
soln1228, 3.0, 0.17201403467563164, 0.0, 0.0, 0.02184594154175903, 0.0, 0.0, 0.0, 0.016083209771422698, 0.01698048945197234, 0.025634423124917417, 0.03306663534800417, 0.034370274674457184, 0.023892126781860624, 0.1527694995375604, 0.0, 0.0, 0.0671726588076398, 0.0, 0.02151915087276304, 0.0, 0.27355109590851034, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07856012449168344, 0.0, 0.02496880367602801, 0.03757153133578989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 86.18943027992361, 60.63209066291875, 9.095761321881891, 370.7904196198955, 15, 238.42525306815875, 76.8028086710095, 59.74294277800679
soln1230, 3.0, 0.29716740851468015, 0.0, 0.0, 0.08685683334334326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04617920467664547, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0313600398618183, 0.0, 0.5267588026328375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011677710970675315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 94.4878934215983, 47.57639762989465, 8.564435536847759, 1000000.0, 6, 146.7190832703934, 74.31093236878746, 54.396759251693666
soln1231, 3.0, 0.23501008225842587, 0.0, 0.0, 0.03684793393720194, 0.0, 0.0, 0.0, 0.019573664500848194, 0.046429600230451624, 0.0, 0.020226930832506484, 0.01813430208366674, 0.0, 0.14477899049387064, 0.024098518068047248, 0.0, 0.0, 0.0, 0.029060269500368087, 0.0, 0.3200716960599175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08200236853055085, 0.0, 0.02376564350414493, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.75915719369283, 43.12607965461259, 15.00642740145899, 234.66842446631466, 12, 155.69905481732962, 84.63783613862395, 62.55909731874796
soln1235, 3.0, 0.1737042109918544, 0.0, 0.0, 0.019739187339839547, 0.0, 0.07615885018922192, 0.0, 0.013194236339302223, 0.0, 0.0, 0.0, 0.04193515852733241, 0.022102649918300417, 0.0, 0.07773458851406456, 0.0, 0.07604553150520252, 0.0, 0.13333464717314805, 0.0, 0.2786848424812329, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014522470428460553, 0.0, 0.0, 0.0, 0.0, 0.027306904672613336, 0.01977947198709964, 0.02575724993232759, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 103.39901537383638, 60.763646199036316, -12.186367413799333, 1000000.0, 14, 202.95864303801733, 65.53515592095485, 49.44994834749261
soln1236, 3.0, 0.24838112034261853, 0.0, 0.0, 0.018158842908978717, 0.0, 0.0, 0.0, 0.0, 0.09088891117710461, 0.0, 0.0, 0.06559218233480146, 0.014853624971807387, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02944607052251667, 0.0, 0.5008397962087745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03183945153339812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.9228569626433, 47.45744896334172, 16.554216815082533, 209.92320881887886, 8, 141.08939489416423, 72.88804470609332, 56.99184485525194
soln1237, 3.0, 0.17255396301403572, 0.0, 0.042937972132844886, 0.024765935861899256, 0.0, 0.0, 0.0, 0.01819263948667233, 0.03551326963167254, 0.0, 0.059374985490693144, 0.024711671054281056, 0.0, 0.14300575961444706, 0.04545040370695378, 0.0, 0.047329649130138034, 0.0, 0.026135034056245038, 0.0, 0.2755923859800631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059912990588683206, 0.0, 0.02452334025137084, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 78.00702448307372, 49.08184090066328, 12.156142624969007, 266.16993592171366, 14, 160.206120994176, 85.9810301471097, 64.39741861497603
soln1238, 3.0, 0.20321489191656453, 0.0, 0.0, 0.02312880968937283, 0.0, 0.0, 0.0, 0.022873046958598715, 0.05063435472361136, 0.0, 0.0, 0.0, 0.04850826124145616, 0.13479011668253635, 0.0, 0.0, 0.08199879451201243, 0.0, 0.025894836259226228, 0.0, 0.34198599585025846, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.047520294369220346, 0.0, 0.019450597797142616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 88.37121105755594, 59.422365810308165, 13.265969603037723, 246.08093904944536, 11, 151.60142508048978, 76.15930591314984, 57.55403494875689
soln1246, 3.0, 0.24318461032954303, 0.0, 0.0, 0.04174941640813557, 0.0, 0.0, 0.0, 0.023166848551148245, 0.04664820110309529, 0.0, 0.0, 0.0, 0.03441069647900675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031313161970440144, 0.0, 0.40862295193015286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.024941706793418377, 0.0, 0.0, 0.0, 0.0, 0.14596240643505978, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 91.18598005154449, 54.61561233414692, 16.10793180840149, 1000000.0, 9, 180.2798759816959, 75.9295736404342, 56.276944864879084
