label, proj, share_FRS, share_COF, share_TUL, share_KWD, share_EXE, share_LDS, share_LND, share_PRT, share_LWT, share_TPD, share_SAU, share_TBA, share_PIX, share_DLE, share_KRT, share_SSJ, share_SFW, share_NKN, share_ARV, share_DLR, share_ID4, share_SMI, share_TJC, share_BLR, share_LHL, share_BDM, share_WRM, share_COB, share_BVA, share_CWO, share_HML, share_KND, share_RRB, share_CNS, share_ALT, share_CWC, share_MAD, share_SOC, share_SOB, share_CCA, share_OFK, cwg_p, cwg_np, cog_wp_p90, n_p
s1/soln107, 3.0, 0.06802000806912925, 0.017798310301923734, 0.043287728464340584, 0.026958963206526264, 0.03906558712975699, 0.03430862400716049, 0.02175618544385299, 0.07379964352165078, 0.01789279433767549, 0.0759862214434027, 0.09459273219664589, 0.08003912363600826, 0.06334978936257793, 0.0, 0.014476584903598613, 0.049238321843720886, 0.08713162812414099, 0.0, 0.011276416710546239, 0.0, 0.0, 0.0, 0.07745864060763197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10356269668971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 61.157463316726265, 18.515968253534044, 1000000.0, 19
s1/soln108, 3.0, 0.08335551425520552, 0.02243904393572566, 0.05528438412661322, 0.0, 0.042451103478903386, 0.11806120584208232, 0.025366846626152444, 0.043325283028333446, 0.01941119461843799, 0.05501754985532304, 0.0, 0.0, 0.07391124384181635, 0.0, 0.013295687608316979, 0.08278192982731536, 0.11302199187491521, 0.0, 0.05616233564670564, 0.0, 0.0, 0.0, 0.0444982985027035, 0.0, 0.03036542771399621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12125095921745375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 58.259168721020586, 18.61297021667277, 947.9659312362953, 17
s1/soln109, 3.0, 0.0, 0.02895588847067246, 0.060542899106287094, 0.01784061063083088, 0.0450949936399763, 0.10523320762662623, 0.03073094903211504, 0.091065381056606, 0.0, 0.06125307549531347, 0.07426917127496499, 0.06837066918780434, 0.0787760471798961, 0.0, 0.12804557481839188, 0.0590466624338063, 0.0659294209302978, 0.0, 0.03767183924036563, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011000467479093471, 0.0, 0.0, 0.0, 0.0, 0.023895904682943104, 0.012277237714008873, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 77.06834201084497, 0.9024245604094618, 927.0694252952538, 18
s1/soln11, 3.0, 0.0, 0.08443953950493487, 0.0, 0.0, 0.0, 0.09423092226397374, 0.060710289138167846, 0.08062690877365103, 0.0, 0.051196236488724796, 0.0, 0.09351024294431237, 0.07201204416001408, 0.09656723178260486, 0.11803405755857117, 0.054963321433086264, 0.08793837674030833, 0.0, 0.044572740190491435, 0.0, 0.0, 0.0, 0.050131804441682276, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01106628457947685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 69.55883681606203, 7.481816154331066, 272.8960025808558, 14
s1/soln110, 3.0, 0.0, 0.09322929000925165, 0.0, 0.0, 0.0, 0.09088822714303355, 0.031141621604352743, 0.07454857698318126, 0.0, 0.03668596563423806, 0.09268853867667526, 0.08987478062699883, 0.07058657766959887, 0.08963349099545047, 0.09061489024560122, 0.04953634108989311, 0.08693433267276443, 0.0, 0.04198208135039504, 0.0, 0.0, 0.0, 0.049416268756929026, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012239016541636491, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 65.03557405937804, 10.69651970870903, 301.57502808253855, 15
s1/soln111, 3.0, 0.0, 0.09987498663970314, 0.06712097478294954, 0.011889392923056219, 0.0, 0.11028378319724458, 0.028935348748341718, 0.09782636972890128, 0.0, 0.06999929117925885, 0.1186597284155764, 0.04099535522121173, 0.10665604220783476, 0.0, 0.01376582516915214, 0.06447941991771163, 0.07096238648810717, 0.0, 0.04531637744259004, 0.0, 0.014691140504315983, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011954426161513935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0124459243692378, 0.014143226903293116, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 81.05470627062326, -2.919167801628987, 490.6325096261406, 18
s1/soln112, 3.0, 0.0, 0.0972688243520934, 0.0, 0.0, 0.0, 0.13111240441648844, 0.02941211858170699, 0.09191947517571078, 0.0, 0.058845799448866316, 0.03324497961769854, 0.10543173393549442, 0.08343351552367448, 0.08536182899242942, 0.02506181762931492, 0.10332787663878214, 0.07529519081224748, 0.0, 0.056686054187061706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011381362943103449, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012217017745327548, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 81.62894933818087, -2.3483969616881732, 268.57305193927806, 15
s1/soln113, 3.0, 0.0, 0.01807368230748715, 0.05728405972572953, 0.010256110668594177, 0.010061334999311042, 0.09323814745696504, 0.02819268475047834, 0.08525065995468245, 0.0, 0.06111751140437219, 0.10402266255016536, 0.033310463502631234, 0.07993744029851052, 0.09127941746296116, 0.022002940231796744, 0.05360372596217501, 0.06059858975552525, 0.0, 0.046742383791532165, 0.0, 0.013220194605814589, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011120690736538874, 0.0, 0.0, 0.0, 0.0, 0.09158291983857864, 0.010509310061157127, 0.01859506993499333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 79.3135202853336, -2.4143878426399046, 1447.4842402578236, 21
s1/soln114, 3.0, 0.0, 0.022978315894514517, 0.0, 0.04653542968731105, 0.034827235134824566, 0.09239340051619979, 0.02702937289438175, 0.0812816123458737, 0.0, 0.05700299968224307, 0.02896993012915341, 0.0561037724444052, 0.07094206530496376, 0.08574869474075193, 0.07725941381140228, 0.05176185617223748, 0.06303453743474312, 0.0, 0.03835983616059866, 0.0, 0.014689406672112397, 0.012343729553796264, 0.04562850674740173, 0.0, 0.030281739269816862, 0.0, 0.012199484509992253, 0.0, 0.0, 0.0, 0.0, 0.012441940416865327, 0.01030896143720594, 0.02787775903920505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 81.52961060572554, -7.889425822136918, 1000000.0, 23
s1/soln115, 3.0, 0.0, 0.0, 0.0, 0.012121927433021528, 0.0, 0.1408987198733935, 0.0, 0.12201983114512352, 0.0, 0.07662601877705356, 0.0, 0.04367375621093748, 0.10659331193299494, 0.0, 0.03802185906561158, 0.08434710403863586, 0.09187097046562934, 0.0, 0.09106748878296503, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.015013248396708173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17774576387792554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 74.82199286547021, 9.942846956731135, 433.087951266033, 12
